ARTIFICIAL INTELLIGENCE AND DATA SPECIALIST – Padova - 2023/25,,,,,,
Codice corso: 7346-0008-1032-2023,,,,,,
,,,,,,
Data,Dalle,Alle,Tot. Ore,Formatore (ROL),Descrizione UF,Dettagli
giovedì 7 dicembre 2023,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
giovedì 7 dicembre 2023,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
giovedì 7 dicembre 2023,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
lunedì 11 dicembre 2023,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 11 dicembre 2023,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 11 dicembre 2023,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
mercoledì 13 dicembre 2023,09:00,11:00,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
mercoledì 13 dicembre 2023,11:15,13:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
mercoledì 13 dicembre 2023,14:15,16:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
giovedì 14 dicembre 2023,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 14 dicembre 2023,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 14 dicembre 2023,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 15 dicembre 2023,09:00,11:00,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
venerdì 15 dicembre 2023,11:15,13:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
venerdì 15 dicembre 2023,14:15,16:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
lunedì 18 dicembre 2023,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 18 dicembre 2023,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 18 dicembre 2023,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 19 dicembre 2023,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
martedì 19 dicembre 2023,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
giovedì 21 dicembre 2023,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 21 dicembre 2023,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 21 dicembre 2023,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 22 dicembre 2023,09:00,11:00,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
