ARTIFICIAL INTELLIGENCE AND DATA SPECIALIST – Padova - 2023/25,,,,,,
Codice corso: 7346-0008-1032-2023,,,,,,
,,,,,,
Data,Dalle,Alle,Tot. Ore,Formatore (ROL),Descrizione UF,Dettagli
martedì 27 febbraio 2024,11:15,13:15,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 Trattamento dei dati personali
martedì 27 febbraio 2024,14:15,18:15,04:00,ACQUASALIENTE GIUSEPPE ,UF 14 - PROJECT WORK,"14.1 Design thinking
 14.2 Value proposition design
 14.3 Agile management"
mercoledì 28 febbraio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.3 Introduzione all'Intelligenza Artificiale
mercoledì 28 febbraio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.3 Introduzione all'Intelligenza Artificiale
mercoledì 28 febbraio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.3 Introduzione all'Intelligenza Artificiale
giovedì 29 febbraio 2024,09:00,11:00,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 Trattamento dei dati personali
giovedì 29 febbraio 2024,11:15,13:15,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 Trattamento dei dati personali
venerdì 1 marzo 2024,09:00,11:00,02:00,CRIVELLARI ANDREA,UF 4 - SICUREZZA SUL LAVORO,
venerdì 1 marzo 2024,11:15,13:15,02:00,CRIVELLARI ANDREA,UF 4 - SICUREZZA SUL LAVORO,
lunedì 4 marzo 2024,11:00,13:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 4 marzo 2024,14:00,18:00,04:00,ACQUASALIENTE GIUSEPPE,UF 14 - PROJECT WORK,"14.1 Design thinking
 14.2 Value proposition design
 14.3 Agile management"
martedì 5 marzo 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 5 marzo 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 5 marzo 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
mercoledì 6 marzo 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
mercoledì 6 marzo 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
mercoledì 6 marzo 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
giovedì 7 marzo 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.3 Introduzione all'Intelligenza Artificiale
giovedì 7 marzo 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
giovedì 7 marzo 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 8 marzo 2024,09:00,11:00,02:00,CRIVELLARI ANDREA,UF 4 - SICUREZZA SUL LAVORO,
venerdì 8 marzo 2024,11:15,13:15,02:00,CRIVELLARI ANDREA,UF 4 - SICUREZZA SUL LAVORO,
lunedì 11 marzo 2024,11:00,13:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 11 marzo 2024,14:00,18:00,04:00,ACQUASALIENTE GIUSEPPE,UF 14 - PROJECT WORK,"14.1 Design thinking
 14.2 Value proposition design
 14.3 Agile management"
martedì 12 marzo 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 12 marzo 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 12 marzo 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
giovedì 14 marzo 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
giovedì 14 marzo 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
giovedì 14 marzo 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
lunedì 18 marzo 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 18 marzo 2024,11:15,13:15,02:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
lunedì 18 marzo 2024,14:15,16:15,02:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
martedì 19 marzo 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 19 marzo 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 19 marzo 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
giovedì 21 marzo 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
giovedì 21 marzo 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
venerdì 22 marzo 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 22 marzo 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 22 marzo 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
lunedì 25 marzo 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 25 marzo 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
martedì 26 marzo 2024,09:00,11:00,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
martedì 26 marzo 2024,11:15,13:15,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
martedì 2 aprile 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
martedì 2 aprile 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
martedì 2 aprile 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
giovedì 4 aprile 2024,09:00,11:00,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
giovedì 4 aprile 2024,11:15,13:15,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
venerdì 5 aprile 2024,09:00,11:00,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
venerdì 5 aprile 2024,11:15,13:15,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
lunedì 8 aprile 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 8 aprile 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 8 aprile 2024,14:15,16:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,PROVA MULTIDISCIPLINARE
martedì 9 aprile 2024,09:00,11:00,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
martedì 9 aprile 2024,11:15,13:15,2:00:00,CHIANDOTTO FILIPPO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
mercoledì 10 aprile 2024,11:15,13:15,02:00,MAISTRELLO RICCARDO,UF6 TECHNOLOGY & INNOVATION,
mercoledì 10 aprile 2024,14:15,16:15,02:00,MAISTRELLO RICCARDO,UF6 TECHNOLOGY & INNOVATION,
giovedì 11 aprile 2024,09:00,11:00,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
giovedì 11 aprile 2024,11:15,13:15,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
venerdì 12 aprile 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 12 aprile 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 12 aprile 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
lunedì 15 aprile 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 15 aprile 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
martedì 16 aprile 2024,09:00,11:00,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
martedì 16 aprile 2024,11:15,13:15,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
mercoledì 17 aprile 2024,09:00,11:00,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
mercoledì 17 aprile 2024,11:15,13:15,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
giovedì 18 aprile 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
giovedì 18 aprile 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
giovedì 18 aprile 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 19 aprile 2024,14:15,18:15,04:00,MAISTRELLO RICCARDO,UF6 TECHNOLOGY & INNOVATION,
lunedì 22 aprile 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 22 aprile 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
martedì 23 aprile 2024,09:00,11:00,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
martedì 23 aprile 2024,11:15,13:15,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
mercoledì 24 aprile 2024,09:00,11:00,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
mercoledì 24 aprile 2024,11:15,13:15,2:00:00,BOTTARELLI FEDERICO (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.1 Data acquisition
lunedì 29 aprile 2024,14:00,18:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
martedì 30 aprile 2024,09:00,11:00,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
martedì 30 aprile 2024,11:15,13:15,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
giovedì 2 maggio 2024,09:00,11:00,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
giovedì 2 maggio 2024,11:15,13:15,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
venerdì 3 maggio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 3 maggio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
venerdì 3 maggio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.4 Machine Learning: supervised learning
lunedì 6 maggio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 6 maggio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
martedì 7 maggio 2024,09:00,11:00,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
martedì 7 maggio 2024,11:15,13:15,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
mercoledì 8 maggio 2024,09:00,11:00,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
mercoledì 8 maggio 2024,11:15,13:15,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
lunedì 13 maggio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,c/o SMACT Via N. Tommaseo 59
lunedì 13 maggio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,c/o SMACT Via N. Tommaseo 59
martedì 14 maggio 2024,09:00,11:00,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
martedì 14 maggio 2024,11:15,13:15,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
mercoledì 15 maggio 2024,09:00,11:00,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
mercoledì 15 maggio 2024,11:15,13:15,2:00:00,PIGATTO GIULIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.3 Data wrangling
giovedì 16 maggio 2024,09:00,11:00,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
giovedì 16 maggio 2024,11:15,13:15,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
venerdì 17 maggio 2024,09:00,11:00,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
venerdì 17 maggio 2024,11:15,13:15,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
lunedì 20 maggio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 20 maggio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
martedì 21 maggio 2024,09:00,11:00,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
martedì 21 maggio 2024,11:15,13:15,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
mercoledì 22 maggio 2024,09:00,11:00,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
mercoledì 22 maggio 2024,11:15,13:15,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
lunedì 27 maggio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,
lunedì 27 maggio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,PROVA MULTIDISCIPLINARE
martedì 28 maggio 2024,09:00,11:00,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
martedì 28 maggio 2024,11:15,13:15,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
mercoledì 29 maggio 2024,09:00,11:00,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
mercoledì 29 maggio 2024,11:15,13:15,2:00:00,BARRA MATTIA (Miriade),UF 8 - ANALISI ESPLORATIVA DEI DATI,8.4 Analytics per la Business Intelligence
venerdì 31 maggio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,UF 14 - PROJECT WORK
venerdì 31 maggio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,UF 14 - PROJECT WORK
venerdì 31 maggio 2024,14:15,16:15,02:00,ZIGLIOTTO WALTER,UF 14 - PROJECT WORK,UF 14 - PROJECT WORK
lunedì 3 giugno 2024,,,,,AVVIO STAGE,
